88 1117
0 9 1
0 15 2
0 21 3
0 4 1
0 52 1
0 59 1
0 81 1
1 15 2
1 26 1
1 38 3
1 59 1
1 6 1
1 81 1
2 15 2
2 19 2
2 21 1
2 32 2
2 36 2
2 41 2
2 54 2
2 59 3
2 63 1
2 66 2
2 6 3
2 75 2
2 78 2
2 83 1
3 19 1
3 21 2
3 38 2
4 9 1
4 0 1
4 11 1
4 15 2
4 17 1
4 20 1
4 21 3
4 23 1
4 26 1
4 27 1
4 32 2
4 33 1
4 35 1
4 36 2
4 38 3
4 41 4
4 45 2
4 47 2
4 48 2
4 51 2
4 52 1
4 53 1
4 59 1
4 5 2
4 61 1
4 62 1
4 63 3
4 64 1
4 68 1
4 6 1
4 74 2
4 75 4
4 76 4
4 78 4
4 80 2
4 81 1
4 85 1
4 86 1
4 87 2
5 15 1
5 19 1
5 21 2
5 24 2
5 26 2
5 30 1
5 32 1
5 38 2
5 41 3
5 43 1
5 49 1
5 4 2
5 52 2
5 54 3
5 59 2
5 63 3
5 66 3
5 6 2
5 75 3
5 77 3
5 81 2
5 85 2
6 9 1
6 11 1
6 13 1
6 14 1
6 16 1
6 17 1
6 1 1
6 21 3
6 26 1
6 27 1
6 31 1
6 2 3
6 32 2
6 33 2
6 34 1
6 35 1
6 36 2
6 38 3
6 39 2
6 40 1
6 41 4
6 42 1
6 45 1
6 49 1
6 51 2
6 53 1
6 55 2
6 59 1
6 5 2
6 63 3
6 65 1
6 67 1
6 68 1
6 71 1
6 73 3
6 74 2
6 75 4
6 78 4
6 7 1
6 80 2
6 81 1
6 86 1
7 15 2
7 19 2
7 32 2
7 35 1
7 38 3
7 51 2
7 59 1
7 6 1
7 80 2
7 81 1
8 21 1
8 38 1
8 54 2
8 63 1
8 79 2
9 0 1
9 15 2
9 32 2
9 36 2
9 47 2
9 49 1
9 4 1
9 59 1
9 6 1
9 80 2
10 15 1
10 19 1
10 32 1
10 59 2
11 15 2
11 38 3
11 4 1
11 59 1
11 63 3
11 6 1
11 81 1
12 21 2
12 38 2
12 54 1
12 63 2
12 72 1
12 77 1
13 15 2
13 32 2
13 49 1
13 6 1
14 15 2
14 32 2
14 59 1
14 6 1
15 9 2
15 10 1
15 0 2
15 11 2
15 12 3
15 13 2
15 14 2
15 16 2
15 17 2
15 1 2
15 21 2
15 22 1
15 23 2
15 26 2
15 27 2
15 2 2
15 31 2
15 32 2
15 34 2
15 36 1
15 38 2
15 39 1
15 41 3
15 42 2
15 44 2
15 45 2
15 48 1
15 49 2
15 50 2
15 4 2
15 51 1
15 52 2
15 54 3
15 55 1
15 56 1
15 57 2
15 58 3
15 59 2
15 5 1
15 62 2
15 63 2
15 64 2
15 66 3
15 67 2
15 68 2
15 69 2
15 6 2
15 71 2
15 72 3
15 73 2
15 75 3
15 76 3
15 77 3
15 78 3
15 79 3
15 80 1
15 7 2
15 81 2
15 82 1
15 83 2
15 84 2
15 87 1
16 15 2
16 38 3
16 49 1
16 6 1
17 15 2
17 21 3
17 26 1
17 27 1
17 38 3
17 49 1
17 4 1
17 59 1
17 63 3
17 6 1
17 80 2
17 81 1
18 32 1
19 10 1
19 24 1
19 2 1
19 32 1
19 39 1
19 3 1
19 43 1
19 46 1
19 51 1
19 55 1
19 59 1
19 5 1
19 74 1
19 7 1
19 80 1
19 82 1
19 87 1
20 21 3
20 4 1
20 59 1
20 6 1
20 81 1
21 9 3
21 0 3
21 15 2
21 17 3
21 20 3
21 23 3
21 26 3
21 28 3
21 2 1
21 31 3
21 32 2
21 33 2
21 35 2
21 36 2
21 38 1
21 3 2
21 44 3
21 47 2
21 48 2
21 49 3
21 50 3
21 51 2
21 4 3
21 52 3
21 54 2
21 55 2
21 59 3
21 5 2
21 62 3
21 63 1
21 64 3
21 66 2
21 67 3
21 68 3
21 69 1
21 6 3
21 72 2
21 73 1
21 74 2
21 76 2
21 77 2
21 78 2
21 79 2
21 80 2
21 81 1
21 82 2
21 83 1
21 85 3
21 8 1
22 38 2
23 15 2
23 21 3
23 38 3
23 49 1
23 4 1
23 59 1
23 63 3
23 6 1
23 80 2
24 19 1
24 32 1
24 38 2
24 41 3
24 5 1
24 74 3
24 75 3
25 38 3
25 59 1
25 6 1
25 81 1
26 11 1
26 15 2
26 17 1
26 1 1
26 21 3
26 31 1
26 32 2
26 33 1
26 35 1
26 36 2
26 38 3
26 40 1
26 47 2
26 49 1
26 4 1
26 51 2
26 5 2
26 62 1
26 63 3
26 64 1
26 67 1
26 68 1
26 6 1
26 80 2
26 81 1
27 15 2
27 17 1
27 31 1
27 33 1
27 47 2
27 4 1
27 62 1
27 64 1
27 6 1
27 80 2
27 85 1
28 21 3
28 59 1
28 6 1
28 80 2
28 81 1
29 15 2
29 32 2
29 59 1
29 6 1
30 19 1
30 32 1
30 5 1
30 74 1
31 15 2
31 21 3
31 26 1
31 27 1
31 38 3
31 59 1
31 81 1
32 9 2
32 10 1
32 13 2
32 14 2
32 15 1
32 18 1
32 19 1
32 21 2
32 24 2
32 26 2
32 29 2
32 30 1
32 2 2
32 33 2
32 34 2
32 35 2
32 36 1
32 38 2
32 39 1
32 41 3
32 46 1
32 49 2
32 50 2
32 4 2
32 51 1
32 52 2
32 54 3
32 55 1
32 58 3
32 59 2
32 60 2
32 63 2
32 64 2
32 68 21
32 6 2
32 74 1
32 75 3
32 78 3
32 80 2
32 7 2
32 81 2
32 82 1
33 21 2
33 26 2
33 27 2
33 32 1
33 36 1
33 41 3
33 4 2
33 59 2
33 63 2
33 6 2
33 81 2
34 15 2
34 32 2
34 59 1
34 6 1
35 15 2
35 21 3
35 26 1
35 32 2
35 38 3
35 49 1
35 4 1
35 53 1
35 6 1
35 7 1
36 9 2
36 15 1
36 19 1
36 21 2
36 26 2
36 2 2
36 32 1
36 33 2
36 38 2
36 41 3
36 47 1
36 48 1
36 4 2
36 51 1
36 54 3
36 55 1
36 59 2
36 63 2
36 66 3
36 6 2
36 75 3
36 78 3
36 80 1
36 81 2
37 51 1
37 59 1
37 81 1
38 11 3
38 12 2
38 15 2
38 16 3
38 17 3
38 1 3
38 22 2
38 23 2
38 24 1
38 25 3
38 26 3
38 2 1
38 31 3
38 32 2
38 33 2
38 35 3
38 36 2
38 39 2
38 3 2
38 41 2
38 42 3
38 43 2
38 44 3
38 46 2
38 47 2
38 49 2
38 51 2
38 4 3
38 54 2
38 55 2
38 56 2
38 57 2
38 58 2
38 59 3
38 5 2
38 62 3
38 63 1
38 64 3
38 66 2
38 68 3
38 69 1
38 6 3
38 72 2
38 73 2
38 74 2
38 75 2
38 76 2
38 77 2
38 78 2
38 79 2
38 80 2
38 81 3
38 7 3
38 82 2
38 83 2
38 87 2
38 8 1
39 15 1
39 19 1
39 32 1
39 38 2
39 63 2
39 6 2
39 80 1
40 26 1
40 59 1
40 6 1
40 81 1
40 86 1
41 15 3
41 21 2
41 24 2
41 2 2
41 32 3
41 36 3
41 47 3
41 49 4
41 51 3
41 4 4
41 54 1
41 5 3
41 63 2
41 69 2
41 72 1
41 6 4
41 73 2
41 74 3
41 76 1
41 77 1
41 80 3
41 83 2
42 15 2
42 21 3
42 38 3
42 59 1
42 63 3
42 6 1
42 80 2
42 81 1
43 19 1
43 38 2
43 5 1
44 15 2
44 21 3
44 38 3
44 59 1
44 81 1
45 15 1
45 59 2
45 6 2
46 19 1
46 32 1
46 38 2
47 9 2
47 21 2
47 26 2
47 27 2
47 36 1
47 38 2
47 41 3
47 48 1
47 4 2
47 51 1
47 52 2
47 59 2
47 63 2
47 6 2
47 76 3
47 78 3
47 80 1
47 81 1
47 84 2
48 15 1
48 21 2
48 36 1
48 47 1
48 4 2
48 59 2
48 63 2
48 80 1
49 9 1
49 13 1
49 15 2
49 16 1
49 17 1
49 21 3
49 23 1
49 26 1
49 29 1
49 32 2
49 35 1
49 36 2
49 38 3
49 41 4
49 50 1
49 51 2
49 52 1
49 53 1
49 59 1
49 60 1
49 5 2
49 62 1
49 63 3
49 64 1
49 68 1
49 6 1
49 74 2
49 75 4
49 78 4
49 80 2
49 81 1
50 15 2
50 21 3
50 32 2
50 49 1
50 51 2
50 5 2
50 63 3
50 80 2
51 15 1
51 19 1
51 21 2
51 26 2
51 32 1
51 36 1
51 37 2
51 38 2
51 41 3
51 47 1
51 49 2
51 4 2
51 52 2
51 59 2
51 63 2
51 6 2
51 80 1
51 7 2
51 81 2
52 0 1
52 15 2
52 21 3
52 32 2
52 47 2
52 49 1
52 4 1
52 80 2
53 15 2
53 35 1
53 49 1
53 4 1
53 59 1
53 81 1
54 12 1
54 15 3
54 21 2
54 2 2
54 32 3
54 36 3
54 38 2
54 41 1
54 57 1
54 58 1
54 5 3
54 63 2
54 66 1
54 73 2
54 75 1
54 78 1
54 79 1
54 8 2
55 15 1
55 21 2
55 32 1
55 36 1
55 38 2
55 63 2
55 6 2
55 80 1
56 15 1
56 21 2
56 38 2
56 63 2
56 80 1
57 15 3
57 21 2
57 38 2
57 54 1
57 72 1
57 77 1
58 15 3
58 21 2
58 32 3
58 38 2
58 54 1
58 63 2
58 72 1
58 76 1
58 77 1
59 9 1
59 0 1
59 10 2
59 11 1
59 13 1
59 15 2
59 17 1
59 1 1
59 20 1
59 21 3
59 23 1
59 28 1
59 29 1
59 31 1
59 2 3
59 32 2
59 33 1
59 34 1
59 37 1
59 38 3
59 40 1
59 42 1
59 44 1
59 45 1
59 47 2
59 48 2
59 49 1
59 4 1
59 51 2
59 53 1
59 59 1
59 5 2
59 62 1
59 63 1
59 64 1
59 67 1
59 68 1
59 6 1
59 70 1
59 71 1
59 75 4
59 7 1
59 80 2
59 85 1
60 32 2
60 49 1
60 6 1
60 80 2
61 4 1
62 15 21
62 21 3
62 26 1
62 27 1
62 38 3
62 49 1
62 4 1
62 59 1
62 63 3
62 80 2
62 81 1
62 86 1
63 11 3
63 12 2
63 15 2
63 17 3
63 21 1
63 23 3
63 24 1
63 2 1
63 32 2
63 33 3
63 36 2
63 38 1
63 39 2
63 41 2
63 47 2
63 48 2
63 49 3
63 51 2
63 4 3
63 54 2
63 55 2
63 56 2
63 57 2
63 58 2
63 59 3
63 5 2
63 62 3
63 64 3
63 66 2
63 68 3
63 69 1
63 6 3
63 72 2
63 73 1
63 74 2
63 75 2
63 76 2
63 77 2
63 78 2
63 79 2
63 80 2
63 81 3
63 82 2
63 8 1
64 15 2
64 21 3
64 26 1
64 27 1
