total conflicts,runtime,cost,avg vertices,seeds,success
19.0,3.21,162.0,79.4,99384,1.0
10.0,1.04,142.0,45.9,34236,1.0
7.0,0.813,154.0,55.9,36421,1.0
7.0,0.909,147.0,54.9,48911,1.0
4.0,0.434,123.0,45.9,35947,1.0
5.0,0.546,124.0,48.5,43653,1.0
4.0,0.355,118.0,36.0,51848,1.0
5.0,0.507,136.0,40.8,80822,1.0
6.0,0.625,122.0,40.4,10191,1.0
13.0,5.33,337.0,129.0,34503,1.0
5.0,0.885,126.0,51.9,77794,1.0
4.0,0.379,120.0,39.8,85573,1.0
6.0,0.644,147.0,53.9,78953,1.0
6.0,0.652,135.0,49.4,87991,1.0
4.0,0.407,128.0,42.2,23131,1.0
4.0,0.406,128.0,39.6,23963,1.0
4.0,0.375,118.0,38.5,52623,1.0
16.0,1.49,143.0,57.1,61868,1.0
5.0,0.437,141.0,37.8,23329,1.0
5.0,0.486,125.0,40.5,59310,1.0
6.0,0.55,125.0,44.9,28567,1.0
8.0,1.0,124.0,53.5,59760,1.0
8.0,0.751,142.0,46.0,98400,1.0
4.0,0.394,131.0,40.9,26474,1.0
10.0,0.968,133.0,49.6,82218,1.0
6.0,0.608,132.0,45.5,47516,1.0
11.0,1.21,136.0,53.4,50393,1.0
6.0,0.75,139.0,62.4,40890,1.0
8.0,0.984,149.0,61.5,34057,1.0
10.0,1.25,161.0,66.8,70879,1.0
9.0,0.886,139.0,51.4,51604,1.0
11.0,1.08,144.0,46.9,75520,1.0
