total conflicts,runtime,cost,avg vertices,seeds,success
16600.0,125.0,98.0,110.0,99384,1.0
27500.0,199.0,98.1,142.0,34236,1.0
9590.0,76.6,96.7,82.0,36421,1.0
44.0,0.427,104.0,34.0,48911,1.0
143.0,1.07,99.8,34.0,35947,1.0
7280.0,54.5,94.5,82.0,43653,1.0
1270.0,9.66,96.1,50.0,51848,1.0
51.0,0.465,102.0,34.0,80822,1.0
46000.0,400.0,98.0,186.0,10191,1.0
116.0,0.903,111.0,34.0,34503,1.0
75100.0,796.0,96.6,258.0,77794,1.0
132.0,1.07,97.6,38.0,85573,1.0
1900.0,13.4,97.2,46.0,78953,1.0
83.0,0.641,100.0,34.0,87991,1.0
715.0,5.16,98.9,38.0,23131,1.0
11700.0,88.7,97.6,98.0,23963,1.0
1050.0,8.26,98.1,38.0,52623,1.0
196.0,1.47,97.7,38.0,61868,1.0
74.0,0.575,102.0,34.0,23329,1.0
19700.0,157.0,96.0,114.0,59310,1.0
234.0,1.81,98.1,34.0,28567,1.0
2340.0,15.9,98.1,46.0,98400,1.0
7170.0,52.2,97.7,78.0,26474,1.0
190.0,1.39,101.0,38.0,82218,1.0
165.0,1.22,100.0,34.0,47516,1.0
103.0,0.776,97.5,34.0,50393,1.0
14000.0,111.0,98.4,102.0,34057,1.0
78.0,0.69,101.0,34.0,70879,1.0
165.0,1.28,103.0,34.0,51604,1.0
43800.0,370.0,97.7,174.0,75520,1.0
