total conflicts,runtime,cost,avg vertices,seeds,success
20.0,0.148,105.0,34.0,99384,1.0
15.0,0.13,103.0,34.0,34236,1.0
12.0,0.137,101.0,34.0,36421,1.0
5.0,0.118,104.0,34.0,48911,1.0
15.0,0.126,100.0,34.0,35947,1.0
14.0,0.132,100.0,34.0,43653,1.0
10.0,0.141,99.1,34.0,51848,1.0
8.0,0.124,103.0,34.0,80822,1.0
15.0,0.127,107.0,34.0,10191,1.0
13.0,0.131,113.0,34.0,34503,1.0
27.0,0.162,106.0,34.0,77794,1.0
8.0,0.125,98.0,34.0,85573,1.0
14.0,0.129,99.9,34.0,78953,1.0
8.0,0.11,101.0,34.0,87991,1.0
8.0,0.121,100.0,34.0,23131,1.0
17.0,0.144,102.0,34.0,23963,1.0
14.0,0.135,101.0,34.0,52623,1.0
14.0,0.121,101.0,34.0,61868,1.0
7.0,0.115,102.0,34.0,23329,1.0
10.0,0.139,101.0,34.0,59310,1.0
5.0,0.113,98.1,34.0,28567,1.0
13.0,0.128,101.0,34.0,59760,1.0
18.0,0.15,102.0,34.0,98400,1.0
12.0,0.129,102.0,34.0,26474,1.0
15.0,0.135,106.0,34.0,82218,1.0
12.0,0.127,101.0,34.0,47516,1.0
10.0,0.123,97.4,34.0,50393,1.0
15.0,0.13,101.0,34.0,40890,1.0
15.0,0.133,104.0,34.0,34057,1.0
6.0,0.128,101.0,34.0,70879,1.0
42.0,0.269,107.0,38.0,51604,1.0
13.0,0.126,110.0,34.0,75520,1.0
